date,"Miner, SD","Harding, SD","Campbell, SD","Buffalo, SD","Faulk, SD","Haakoon, SD","Towner, ND","Sheridan, ND","Eddy, ND","Golden Valley, ND","Oliver, ND","Logan, ND"
4/13/2021,1,0,0,0,1,0,0,0,0,0,0,0
4/14/2021,4,0,0,2,1,0,0,0,2,1,0,4
4/15/2021,11,0,0,20,9,0,0,2,6,0,3,0
4/16/2021,3,1,1,1,5,0,0,7,4,0,0,4
4/17/2021,0,0,2,0,0,0,1,0,3,4,2,2
4/18/2021,6,0,1,3,4,0,2,0,0,1,0,3
4/19/2021,2,0,0,0,0,0,0,0,0,0,1,0
4/20/2021,0,0,0,0,0,0,0,0,0,0,0,0
4/21/2021,1,0,0,1,0,0,0,14,0,0,4,1
4/22/2021,0,1,0,1,2,0,0,4,2,3,0,1
4/23/2021,6,9,1,2,7,0,0,6,0,13,2,0
4/24/2021,0,1,0,2,3,0,1,3,2,1,6,6
4/25/2021,6,0,0,1,1,0,9,2,0,0,1,10
4/26/2021,0,0,0,0,0,0,0,0,0,0,0,0
4/27/2021,0,0,0,0,0,0,0,0,0,0,0,0
4/28/2021,0,0,0,1,3,0,0,0,1,0,0,1
4/29/2021,2,1,0,1,0,0,1,0,1,0,2,0
4/30/2021,1,0,0,3,0,0,1,0,0,0,3,3
5/1/2021,8,0,7,2,0,0,0,0,11,1,0,3
5/2/2021,0,0,0,0,0,0,4,0,1,0,0,3
5/3/2021,2,0,0,1,0,0,0,0,0,0,0,0
5/4/2021,0,0,0,2,0,0,0,0,0,0,0,0
5/5/2021,0,0,0,0,0,0,1,0,3,1,1,1
5/6/2021,1,0,7,2,0,0,0,0,0,0,0,0
5/7/2021,2,0,0,0,0,0,0,0,0,1,1,2
5/8/2021,7,4,0,0,0,0,3,0,4,0,2,2
5/9/2021,0,0,0,0,0,0,0,0,0,0,0,0
5/10/2021,0,0,0,0,0,0,0,0,0,0,0,0
5/11/2021,1,1,0,0,0,0,0,0,0,1,0,0
5/12/2021,1,0,0,0,0,0,0,0,0,0,1,0
5/13/2021,0,0,0,0,0,0,0,0,2,0,2,1
5/14/2021,1,0,2,0,0,0,0,0,0,2,0,0
5/15/2021,6,0,0,1,0,0,0,0,2,5,1,2
5/16/2021,0,0,0,0,0,0,4,0,0,0,2,0
5/17/2021,1,1,0,0,0,0,0,0,0,0,0,0
5/18/2021,0,0,0,0,0,0,0,0,0,0,0,0
5/19/2021,3,1,0,0,0,0,0,2,0,0,0,0
5/20/2021,3,1,0,0,0,0,2,1,0,0,0,0
5/21/2021,7,0,0,0,0,0,3,2,5,11,5,0
5/22/2021,3,1,2,1,0,0,8,1,2,1,1,6
5/23/2021,0,0,0,4,0,0,0,0,0,0,0,0
5/24/2021,0,0,0,8,0,0,0,0,0,0,0,0
5/25/2021,2,0,0,0,0,0,0,0,0,0,0,1
5/26/2021,0,0,0,2,0,0,0,1,5,0,0,0
5/27/2021,0,0,0,0,0,0,1,0,6,1,0,1
5/28/2021,0,0,0,19,0,0,0,0,0,0,0,0
5/29/2021,1,0,0,55,0,0,0,0,0,0,2,6
5/30/2021,0,0,0,11,0,0,2,0,0,0,3,1
5/31/2021,0,0,0,0,0,0,0,0,0,0,0,0
6/1/2021,0,0,0,0,0,0,0,0,0,0,0,0
6/2/2021,0,0,0,0,0,0,1,0,0,0,0,0
6/3/2021,0,0,0,12,0,0,0,0,3,0,0,0
6/4/2021,1,0,0,1,0,0,1,0,0,2,1,0
6/5/2021,5,0,2,9,0,0,2,0,1,1,0,0
6/6/2021,0,0,0,5,0,0,0,0,0,0,0,0
6/7/2021,0,0,0,0,0,0,0,0,0,0,0,0
6/8/2021,0,0,0,0,0,0,0,0,0,0,0,0
6/9/2021,2,0,0,3,0,0,3,0,0,0,0,1
6/10/2021,0,0,1,11,0,0,0,1,0,0,0,0
6/11/2021,3,0,1,10,0,0,0,1,5,0,0,0
6/12/2021,1,0,1,0,0,0,2,0,0,1,0,1
6/13/2021,0,0,0,11,0,0,0,0,1,0,0,0
6/14/2021,0,0,0,0,0,0,0,0,0,0,0,0
6/15/2021,0,0,2,0,0,0,0,0,0,0,0,0
