date,"Miner, SD","Harding, SD","Campbell, SD","Buffalo, SD","Faulk, SD","Haakoon, SD","Towner, ND","Sheridan, ND","Eddy, ND","Golden Valley, ND","Oliver, ND","Logan, ND"
3/27/2020,,,,,,,,,,,,
3/28/2020,,,,,,,,,,,,
3/29/2020,,,,,,,,,,,,
3/30/2020,,,,,,,,,,,,
3/31/2020,,,,,,,,,,,,
4/1/2020,,,,,,,,,,,,
4/2/2020,,,,,,,,,,,,
4/3/2020,,,,,,,,,,,,
4/4/2020,,,,,,,,,,,,
4/5/2020,,,,,,,,,,,,
4/6/2020,,,,,,,,,,,,
4/7/2020,,,,,,,,,,,,
4/8/2020,,,,,,,,,,,,
4/9/2020,,,,,,,,,,,,
4/10/2020,,,,,,,,,,,,
4/11/2020,,,,,,,,,,,,
4/12/2020,,,,,,,,,,,,
4/13/2020,,,,,,,,,,,,
4/14/2020,,,,,,,,,,,,
4/15/2020,,,,,,,,,,,,
4/16/2020,,,,,,,,,,,,
4/17/2020,,,,,,,,,,,,
4/18/2020,,,,,,,,,,,,
4/19/2020,,,,,,,,,,,,
4/20/2020,,,,,,,,,,,,
4/21/2020,,,,,,,,,,,,
4/22/2020,,,,,,,,,,,,
4/23/2020,,,,,,,,,,,,
4/24/2020,,,,,,,,,,,,
4/25/2020,,,,,,,,,,,,
4/26/2020,,,,,,,,,,,,
4/27/2020,,,,,,,,,,,,
4/28/2020,,,,,,,,,,,,
4/29/2020,,,,,,,,,,,,
4/30/2020,,,,,,,,,,,,
5/1/2020,,,,,,,,,,,,
5/2/2020,,,,,,,,,,,,
5/3/2020,,,,,,,,,,,,
5/4/2020,,,,,,,,,,,,
5/5/2020,,,,,,,,,,,,
5/6/2020,,,,,,,,,,,,
5/7/2020,,,,,,,,,,,,
5/8/2020,,,,,,,,,,,,
5/9/2020,,,,,,,,,,,,
5/10/2020,,,,,,,,,,,,
5/11/2020,,,,,,,,,,,,
5/12/2020,,,,,,,,,,,,
5/13/2020,,,,,,,,,,,,
5/14/2020,,,,,,,,,,,,
5/15/2020,,,,,,,,,,,,
5/16/2020,,,,,,,,,,,,
5/17/2020,,,,,,,,,,,,
5/18/2020,,,,,,,,,,,,
5/19/2020,,,,,,,,,,,,
5/20/2020,,,,,,,,,,,,
5/21/2020,,,,,,,,,,,,
5/22/2020,,,,,,,,,,,,
5/23/2020,,,,,,,,,,,,
5/24/2020,,,,,,,,,,,,
5/25/2020,,,,,,,,,,,,
5/26/2020,,,,,,,,,,,,
5/27/2020,,,,,,,,,,,,
5/28/2020,,,,,,,,,,,,
5/29/2020,,,,,,,,,,,,
5/30/2020,,,,,,,,,,,,
5/31/2020,,,,,,,,,,,,
6/1/2020,,,,,,,,,,,,
6/2/2020,,,,,,,,,,,,
6/3/2020,,,,,,,,,,,,
6/4/2020,,,,,,,,,,,,
6/5/2020,,,,,,,,,,,,
6/6/2020,,,,,,,,,,,,
6/7/2020,,,,,,,,,,,,
6/8/2020,,,,,,,,,,,,
6/9/2020,,,,,,,,,,,,
6/10/2020,,,,,,,,,,,,
6/11/2020,,,,,,,,,,,,
6/12/2020,,,,,,,,,,,,
6/13/2020,,,,,,,,,,,,
6/14/2020,,,,,,,,,,,,
6/15/2020,,,,,,,,,,,,
6/16/2020,,,,,,,,,,,,
6/17/2020,,,,,,,,,,,,
6/18/2020,,,,,,,,,,,,
6/19/2020,,,,,,,,,,,,
6/20/2020,,,,,,,,,,,,
6/21/2020,,,,,,,,,,,,
6/22/2020,,,,,,,,,,,,
6/23/2020,,,,,,,,,,,,
6/24/2020,,,,,,,,,,,,
6/25/2020,,,,,,,,,,,,
6/26/2020,,,,,,,,,,,,
6/27/2020,,,,,,,,,,,,
6/28/2020,,,,,,,,,,,,
6/29/2020,,,,,,,,,,,,
6/30/2020,,,,,,,,,,,,
7/1/2020,,,,,,,,,,,,
7/2/2020,,,,,,,,,,,,
7/3/2020,,,,,,,,,,,,
7/4/2020,,,,,,,,,,,,
7/5/2020,,,,,,,,,,,,
7/6/2020,,,,,,,,,,,,
7/7/2020,,,,,,,,,,,,
7/8/2020,,,,,,,,,,,,
7/9/2020,,,,,,,,,,,,
7/10/2020,,,,,,,,,,,,
7/11/2020,,,,,,,,,,,,
7/12/2020,,,,,,,,,,,,
7/13/2020,,,,,,,,,,,,
7/14/2020,,,,,,,,,,,,
7/15/2020,,,,,,,,,,,,
7/16/2020,,,,,,,,,,,,
7/17/2020,,,,,,,,,,,,
7/18/2020,,,,,,,,,,,,
7/19/2020,,,,,,,,,,,,
7/20/2020,,,,,,,,,,,,
7/21/2020,,,,,,,,,,,,
7/22/2020,,,,,,,,,,,,
7/23/2020,,,,,,,,,,,,
7/24/2020,,,,,,,,,,,,
7/25/2020,,,,,,,,,,,,
7/26/2020,,,,,,,,,,,,
7/27/2020,,,,,,,,,,,,
7/28/2020,,,,,,,,,,,,
7/29/2020,,,,,,,,,,,,
7/30/2020,,,,,,,,,,,,
7/31/2020,,,,,,,,,,,,
8/1/2020,,,,,,,,,,,,
8/2/2020,,,,,,,,,,,,
8/3/2020,,,,,,,,,,,,
8/4/2020,,,,,,,,,,,,
8/5/2020,,,,,,,,,,,,
8/6/2020,,,,,,,,,,,,
8/7/2020,,,,,,,,,,,,
8/8/2020,,,,,,,,,,,,
8/9/2020,,,,,,,,,,,,
8/10/2020,,,,,,,,,,,,
8/11/2020,,,,,,,,,,,,
8/12/2020,,,,,,,,,,,,
8/13/2020,,,,,,,,,,,,
8/14/2020,,,,,,,,,,,,
8/15/2020,,,,,,,,,,,,
8/16/2020,,,,,,,,,,,,
8/17/2020,,,,,,,,,,,,
8/18/2020,,,,,,,,,,,,
8/19/2020,,,,,,,,,,,,
8/20/2020,,,,,,,,,,,,
8/21/2020,,,,,,,,,,,,
8/22/2020,,,,,,,,,,,,
8/23/2020,,,,,,,,,,,,
8/24/2020,,,,,,,,,,,,
8/25/2020,,,,,,,,,,,,
8/26/2020,,,,,,,,,,,,
8/27/2020,,,,,,,,,,,,
8/28/2020,,,,,,,,,,,,
8/29/2020,,,,,,,,,,,,
8/30/2020,,,,,,,,,,,,
8/31/2020,,,,,,,,,,,,
9/1/2020,,,,,,,,,,,,
9/2/2020,,,,,,,,,,,,
9/3/2020,,,,,,,,,,,,
9/4/2020,,,,,,,,,,,,
9/5/2020,,,,,,,,,,,,
9/6/2020,,,,,,,,,,,,
9/7/2020,,,,,,,,,,,,
9/8/2020,,,,,,,,,,,,
9/9/2020,,,,,,,,,,,,
9/10/2020,,,,,,,,,,,,
9/11/2020,,,,,,,,,,,,
9/12/2020,,,,,,,,,,,,
9/13/2020,,,,,,,,,,,,
9/14/2020,,,,,,,,,,,,
9/15/2020,,,,,,,,,,,,
9/16/2020,,,,,,,,,,,,
9/17/2020,,,,,,,,,,,,
9/18/2020,,,,,,,,,,,,
9/19/2020,,,,,,,,,,,,
9/20/2020,,,,,,,,,,,,
9/21/2020,,,,,,,,,,,,
9/22/2020,,,,,,,,,,,,
9/23/2020,,,,,,,,,,,,
9/24/2020,,,,,,,,,,,,
9/25/2020,,,,,,,,,,,,
9/26/2020,,,,,,,,,,,,
9/27/2020,,,,,,,,,,,,
9/28/2020,,,,,,,,,,,,
9/29/2020,,,,,,,,,,,,
9/30/2020,,,,,,,,,,,,
10/1/2020,,,,,,,,,,,,
10/2/2020,,,,,,,,,,,,
10/3/2020,,,,,,,,,,,,
10/4/2020,,,,,,,,,,,,
10/5/2020,,,,,,,,,,,,
10/6/2020,,,,,,,,,,,,
10/7/2020,,,,,,,,,,,,
10/8/2020,,,,,,,,,,,,
10/9/2020,,,,,,,,,,,,
10/10/2020,,,,,,,,,,,,
10/11/2020,,,,,,,,,,,,
10/12/2020,,,,,,,,,,,,
10/13/2020,,,,,,,,,,,,
10/14/2020,,,,,,,,,,,,
10/15/2020,,,,,,,,,,,,
10/16/2020,,,,,,,,,,,,
10/17/2020,,,,,,,,,,,,
10/18/2020,,,,,,,,,,,,
10/19/2020,,,,,,,,,,,,
10/20/2020,,,,,,,,,,,,
10/21/2020,,,,,,,,,,,,
10/22/2020,,,,,,,,,,,,
10/23/2020,,,,,,,,,,,,
10/24/2020,,,,,,,,,,,,
10/25/2020,,,,,,,,,,,,
10/26/2020,,,,,,,,,,,,
10/27/2020,,,,,,,,,,,,
10/28/2020,,,,,,,,,,,,
10/29/2020,,,,,,,,,,,,
10/30/2020,,,,,,,,,,,,
10/31/2020,,,,,,,,,,,,
11/1/2020,,,,,,,,,,,,
11/2/2020,,,,,,,,,,,,
11/3/2020,,,,,,,,,,,,
11/4/2020,,,,,,,,,,,,
11/5/2020,,,,,,,,,,,,
11/6/2020,,,,,,,,,,,,
11/7/2020,,,,,,,,,,,,
11/8/2020,,,,,,,,,,,,
11/9/2020,,,,,,,,,,,,
11/10/2020,,,,,,,,,,,,
11/11/2020,,,,,,,,,,,,
11/12/2020,,,,,,,,,,,,
11/13/2020,,,,,,,,,,,,
11/14/2020,,,,,,,,,,,,
11/15/2020,,,,,,,,,,,,
11/16/2020,,,,,,,,,,,,
11/17/2020,,,,,,,,,,,,
11/18/2020,,,,,,,,,,,,
11/19/2020,,,,,,,,,,,,
11/20/2020,,,,,,,,,,,,
11/21/2020,,,,,,,,,,,,
11/22/2020,,,,,,,,,,,,
11/23/2020,,,,,,,,,,,,
11/24/2020,,,,,,,,,,,,
11/25/2020,,,,,,,,,,,,
11/26/2020,,,,,,,,,,,,
11/27/2020,,,,,,,,,,,,
11/28/2020,,,,,,,,,,,,
11/29/2020,,,,,,,,,,,,
11/30/2020,,,,,,,,,,,,
12/1/2020,,,,,,,,,,,,
12/2/2020,,,,,,,,,,,,
12/3/2020,,,,,,,,,,,,
12/4/2020,,,,,,,,,,,,
12/5/2020,,,,,,,,,,,,
12/6/2020,,,,,,,,,,,,
12/7/2020,,,,,,,,,,,,
12/8/2020,,,,,,,,,,,,
12/9/2020,,,,,,,,,,,,
12/10/2020,,,,,,,,,,,,
12/11/2020,,,,,,,,,,,,
12/12/2020,,,,,,,,,,,,
12/13/2020,0,0,0,0,0,0,0,0,0,0,0,0
12/14/2020,0,0,0,0,0,0,0,0,0,0,0,0
12/15/2020,0,0,0,0,0,0,0,0,0,0,0,0
12/16/2020,0,0,0,0,0,0,0,0,0,0,0,0
12/17/2020,0,0,0,0,0,0,0,0,0,0,0,0
12/18/2020,0,0,0,0,0,0,0,0,0,0,0,0
12/19/2020,0,0,0,0,0,0,0,0,0,0,0,0
12/20/2020,0,0,0,0,0,0,0,0,0,0,0,0
12/21/2020,0,0,0,0,0,0,0,0,0,0,0,0
12/22/2020,0,0,0,0,0,0,0,0,0,0,0,0
12/23/2020,0,0,0,0,0,0,0,0,0,0,0,0
12/24/2020,0,0,0,0,0,0,0,0,0,0,0,0
12/25/2020,0,0,0,0,0,0,0,0,0,0,0,0
12/26/2020,0,0,0,0,0,0,0,0,0,0,0,0
12/27/2020,0,0,0,0,0,0,0,0,0,0,0,0
12/28/2020,0,0,0,0,0,0,0,0,0,0,0,0
12/29/2020,0,0,0,0,0,0,0,0,0,0,0,0
12/30/2020,0,0,0,0,0,0,0,0,0,0,0,0
12/31/2020,0,0,0,0,0,0,0,0,0,0,0,0
1/1/2021,0,0,0,0,0,0,0,0,0,0,0,0
1/2/2021,0,0,0,0,0,0,0,0,0,0,0,0
1/3/2021,0,0,0,0,0,0,0,0,0,0,0,0
1/4/2021,0,0,0,0,0,0,0,0,0,0,0,0
1/5/2021,0,0,0,0,0,0,0,0,0,0,0,0
1/6/2021,0,0,0,0,0,0,0,0,0,0,0,0
1/7/2021,0,0,0,0,0,0,0,0,0,0,0,0
1/8/2021,0,0,0,0,0,0,0,0,0,0,0,0
1/9/2021,0,0,0,0,0,0,0,0,0,0,0,0
1/10/2021,0,0,0,0,0,0,0,0,0,0,0,0
1/11/2021,0,0,0,0,0,0,0,0,0,0,0,0
1/12/2021,0,0,0,0,0,0,0,0,0,0,0,0
1/13/2021,0,0,0,0,0,0,0,0,0,0,0,0
1/14/2021,0,0,0,0,0,0,0,0,0,0,0,0
1/15/2021,0,0,0,0,0,0,0,0,0,0,0,0
1/16/2021,0,0,0,0,0,0,0,0,0,0,0,0
1/17/2021,0,0,0,0,0,0,0,0,0,0,0,0
1/18/2021,0,0,0,0,0,0,0,0,0,0,0,0
1/19/2021,0,0,0,0,0,0,0,0,0,0,0,0
1/20/2021,0,0,0,0,0,0,0,0,0,0,0,0
1/21/2021,0,0,0,0,0,0,0,0,0,0,0,0
1/22/2021,0,0,28,0,0,0,0,0,27,0,0,0
1/23/2021,0,0,2,0,0,0,0,0,0,0,0,0
1/24/2021,0,0,1,0,0,0,0,0,2,0,0,0
1/25/2021,0,0,0,0,0,0,0,0,1,0,0,0
1/26/2021,0,0,2,0,0,0,0,0,6,0,0,0
1/27/2021,0,0,0,0,0,0,0,0,0,0,0,0
1/28/2021,0,0,1,0,0,0,0,0,16,37,0,0
1/29/2021,0,0,9,0,0,0,0,0,0,0,0,0
1/30/2021,0,0,20,41,0,0,62,0,53,0,0,31
1/31/2021,0,0,2,1,0,0,10,0,0,0,0,3
2/1/2021,0,0,0,1,0,0,0,0,0,0,0,0
2/2/2021,0,0,0,0,0,0,0,0,0,0,0,0
2/3/2021,0,0,0,15,0,0,20,0,1,0,0,2
2/4/2021,0,0,0,0,0,0,15,0,70,0,0,2
2/5/2021,75,0,0,0,0,0,0,0,1,0,0,1
2/6/2021,22,0,1,27,0,0,6,47,74,0,0,10
2/7/2021,0,0,0,9,0,0,39,0,10,2,0,1
2/8/2021,0,0,0,0,0,0,0,0,0,0,0,0
2/9/2021,0,0,0,1,0,0,0,0,0,0,0,0
2/10/2021,5,0,0,36,0,0,1,0,0,0,0,0
2/11/2021,4,0,0,0,0,0,4,0,0,0,0,0
2/12/2021,11,0,4,6,82,0,1,0,10,20,0,30
2/13/2021,0,0,0,0,35,0,0,0,0,0,0,0
2/14/2021,0,0,1,0,8,0,11,1,11,3,28,3
2/15/2021,0,0,0,0,0,0,0,0,0,0,0,0
2/16/2021,3,0,0,1,1,0,0,0,0,0,0,0
2/17/2021,0,0,0,0,0,0,0,0,0,10,1,2
2/18/2021,1,0,0,1,0,0,0,0,0,4,1,12
2/19/2021,5,0,0,3,1,0,0,0,0,0,0,0
2/20/2021,17,0,24,2,0,0,16,24,1,0,4,46
2/21/2021,2,0,0,3,0,0,31,22,1,1,7,4
2/22/2021,0,0,0,0,0,0,0,0,0,0,0,0
2/23/2021,1,0,0,0,0,0,8,35,2,0,1,0
2/24/2021,0,0,0,4,1,0,3,23,11,10,10,0
2/25/2021,2,0,0,2,0,0,2,13,21,39,28,1
2/26/2021,46,0,0,98,1,0,0,0,0,1,0,0
2/27/2021,8,0,29,8,0,0,3,7,26,2,5,10
2/28/2021,4,11,0,1,2,14,1,1,2,1,4,2
3/1/2021,2,0,0,0,0,0,1,0,0,2,0,0
3/2/2021,0,0,0,0,0,0,0,0,5,2,0,2
3/3/2021,0,3,0,0,2,0,0,0,0,0,0,0
3/4/2021,4,1,0,72,0,1,23,4,21,0,2,5
3/5/2021,2,10,0,0,26,1,42,0,27,1,16,9
3/6/2021,3,0,2,0,0,0,7,3,10,0,2,13
3/7/2021,2,0,2,2,4,1,45,0,6,0,0,3
3/8/2021,1,0,0,0,0,0,1,3,0,0,0,2
3/9/2021,0,0,0,0,0,0,0,6,48,0,0,2
3/10/2021,0,2,1,1,58,0,1,0,0,0,0,0
3/11/2021,3,0,0,1,5,19,1,9,20,2,2,1
3/12/2021,66,2,4,1,9,9,30,23,8,16,32,10
3/13/2021,7,0,24,50,3,11,25,17,28,11,3,6
3/14/2021,4,1,0,0,0,9,61,2,5,7,8,4
3/15/2021,4,0,0,20,0,0,0,0,0,0,0,0
3/16/2021,1,0,2,1,1,0,1,0,2,0,0,0
3/17/2021,2,2,0,0,2,2,8,0,7,0,0,0
3/18/2021,0,1,0,2,4,11,6,2,3,0,7,10
3/19/2021,46,6,20,4,50,9,1,0,17,13,16,0
3/20/2021,2,1,2,13,5,11,2,5,31,10,10,30
3/21/2021,27,1,1,0,3,2,0,3,23,1,1,0
3/22/2021,3,0,0,0,2,1,3,0,0,0,0,0
3/23/2021,2,0,0,0,0,1,0,0,0,0,2,0
3/24/2021,5,0,0,1,9,6,6,1,3,0,0,1
3/25/2021,3,0,0,2,36,14,35,1,6,0,10,13
3/26/2021,69,11,23,4,23,33,3,2,28,41,15,0
3/27/2021,15,1,17,0,10,14,4,1,15,1,3,4
3/28/2021,10,1,0,3,9,2,46,6,23,1,3,6
3/29/2021,3,1,0,0,1,0,0,0,0,0,3,0
3/30/2021,2,0,0,0,0,0,1,0,0,0,3,3
3/31/2021,0,1,0,0,3,6,0,0,16,0,2,26
4/1/2021,37,0,0,4,5,9,4,0,8,1,0,0
4/2/2021,38,10,2,2,33,24,8,19,15,14,9,2
4/3/2021,10,11,2,11,6,17,17,21,26,16,2,19
4/4/2021,5,1,0,0,11,0,42,0,8,1,2,1
4/5/2021,2,0,0,0,2,0,0,0,1,1,0,0
4/6/2021,0,0,0,0,0,0,0,0,0,0,0,0
4/7/2021,0,1,0,3,6,2,5,0,9,4,1,0
4/8/2021,11,2,0,1,49,8,2,6,0,11,5,4
4/9/2021,43,9,20,1,18,14,6,4,7,1,12,3
4/10/2021,1,8,1,4,1,8,9,3,17,1,1,15
4/11/2021,45,0,1,5,4,10,45,0,7,2,4,3
4/12/2021,2,0,0,0,0,0,0,0,0,0,0,0
